name,college_type,college_years,acceptance_rate_pct,sat_25th_percentile,sat_75th_percentile,sat_50th_percentile,act_25th_percentile,act_75th_percentile,act_50th_percentile,graduation_rate_pct,retention_rate_pct,pct_receiving_aid_pct,avg_after_aid_val,avg_after_aid_costs_val,avg_aid_package_val,avg_housing_cost_val,undergrad_students_num,student_faculty_ratio_num,num_majors_num,college_board_code_num,college_score,setting,rd_due_date,test_optional,gpa_optional
"Embry Riddle Aeronautical University, Prescott",Private,,0.5,,,1300,,,28,0.7,0.8,0.7,15000,40000,15000,15000,3000,,,,56,Rural,2024-01-15,No,
Embry-Riddle Aeronautical University,Private,,0.5,,,1300,,,28,0.7,0.85,0.7,15000,40000,15000,15000,7000,,,,58,Suburban,2024-01-15,No,
Emerson College,Private,,0.3,,,1350,,,30,0.85,0.85,0.75,20000,50000,20000,15000,4000,,,,66,Urban,2024-01-15,Yes,
Emmanuel College,Private,,0.45,,,1250,,,27,0.75,0.85,0.75,20000,45000,20000,14000,2000,,,,57,Urban,2024-01-15,Yes,
Emmanuel College Georgia,Private,,0.5,,,1100,,,24,0.6,0.7,0.7,15000,20000,15000,12000,800,,,,48,Rural,2024-01-15,Yes,
Emmaus Bible College,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,20000,25000,20000,12000,500,,,,48,Rural,2024-01-15,Yes,
Emory & Henry College,Private,,0.5,,,1150,,,24,0.65,0.75,0.75,20000,35000,20000,12000,1000,,,,50,Rural,2024-01-15,Yes,
Emory University,Private,,0.15,,,1450,,,32,0.9,0.95,0.75,25000,55000,25000,15000,15000,,,,80,Urban,2024-01-01,Yes,
Emporia State University,Public,,0.6,,,1100,,,24,0.6,0.7,0.6,8000,18000,8000,12000,5000,,,,49,Rural,2024-01-01,Yes,
Erskine College,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,20000,20000,13000,800,,,,49,Rural,2024-01-15,Yes,
Eugene Bible College,Private,,0.6,,,1100,,,25,0.7,0.75,0.7,20000,20000,20000,12000,3000,,,,50,Urban,2024-01-15,Yes,
Eureka College,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,600,,,,46,Rural,2024-01-15,Yes,
Evangel University,Private,,0.6,,,1150,,,24,0.6,0.7,0.8,20000,23000,20000,12000,1500,,,,46,Urban,2024-01-15,Yes,
Evergreen State College,Public,,0.75,,,1150,,,24,0.55,0.75,0.7,12000,32000,12000,15000,3000,,,,43,Suburban,2023-05-01,Yes,
Excel College,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,25000,20000,12000,5000,,,,55,Suburban,2024-01-15,Yes,
Excelsior College,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,15000,15000,12000,5000,,,,49,Urban,Rolling,Yes,
Fairfield University,Private,,0.5,,,1250,,,27,0.85,0.88,0.75,20000,55000,20000,15000,5000,,,,59,Suburban,2024-01-15,Yes,
"Fairleigh Dickinson University, Florham-Madison Campus",Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,35000,20000,13000,5000,,,,55,Suburban,2024-01-15,Yes,
"Fairleigh Dickinson University, Teaneck-Hackensack Campus",Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,35000,20000,15000,8000,,,,53,Suburban,2024-01-15,Yes,
Fairmont State College,Public,,0.6,,,1100,,,25,0.5,0.7,0.6,7000,20000,7000,12000,4000,,,,47,Rural,2024-01-01,Yes,
Fashion Institute of New York,Public,,0.5,,,1200,,,25,0.65,0.8,0.6,10000,24000,10000,15000,10000,,,,55,Urban,2024-01-01,Yes,
Faulkner University,Private,,0.6,,,1100,,,24,0.6,0.7,0.7,15000,20000,15000,12000,1500,,,,46,Urban,2024-01-15,Yes,
Fayetteville State University,Public,,0.6,,,1100,,,25,0.5,0.7,0.6,8000,18000,8000,12000,6000,,,,48,Urban,2024-01-15,Yes,
Felician College,Private,,0.6,,,1100,,,25,0.65,0.75,0.8,20000,30000,20000,12000,1500,,,,48,Suburban,2024-01-15,Yes,
Ferris State University,Public,,0.7,,,1100,,,24,0.6,0.75,0.6,8000,24000,8000,12000,12000,,,,47,Rural,2024-07-01,Yes,
Ferrum College,Private,,0.65,,,1100,,,23,0.6,0.7,0.75,15000,20000,15000,12000,1000,,,,43,Rural,2024-01-15,Yes,
Fielding Institute,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,25000,20000,12000,1000,,,,52,Suburban,Rolling,Yes,
Finch University of Health Sciences - The Chicago Medical School,Private,,0.25,,,1300,,,28,0.85,0.9,0.7,20000,50000,20000,12000,1000,,,,65,Urban,2024-01-15,Yes,
Finlandia University,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,600,,,,46,Rural,2024-01-15,Yes,
Fisher College,Private,,0.7,,,1100,,,25,0.6,0.75,0.8,20000,28000,20000,12000,800,,,,43,Urban,2024-01-15,Yes,
Fisk University,Private,,0.5,,,1100,,,24,0.6,0.7,0.8,15000,20000,15000,12000,800,,,,48,Urban,2024-01-15,Yes,
Fitchburg State College,Public,,0.65,,,1100,,,25,0.58,0.75,0.65,8000,22000,8000,13000,6000,,,,48,Urban,2024-01-01,Yes,
Flagler College,Private,,0.5,,,1180,,,25,0.6,0.75,0.7,15000,20000,15000,13000,2000,,,,51,Urban,2024-01-15,Yes,
Florida Agricultural and Mechanical University,Public,,0.5,,,1100,,,24,0.6,0.8,0.6,8000,18000,8000,12000,10000,,,,53,Urban,2024-01-15,Yes,
Florida Atlantic University,Public,,0.65,,,1200,,,25,0.59,0.8,0.65,8000,18000,8000,12000,29000,,,,49,Suburban,2024-05-01,Yes,
Florida Christian College,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,20000,20000,20000,12000,800,,,,48,Suburban,2024-08-01,Yes,
Florida Community College at Jacksonville,Public,,0.7,,,1100,,,24,0.55,0.75,0.6,8000,18000,8000,12000,15000,,,,46,Urban,2023-08-01,Yes,
Florida Gulf Coast University,Public,,0.6,,,1200,,,25,0.6,0.75,0.6,8000,18000,8000,12000,15000,,,,51,Suburban,2024-01-01,Yes,
Florida Institute of Technology,Private,,0.5,,,1300,,,28,0.7,0.8,0.6,10000,50000,10000,13000,6000,,,,57,Suburban,2024-01-15,Yes,
Florida International University,Public,,0.6,,,1230,,,25,0.6,0.8,0.6,7000,21000,7000,13000,55000,,,,50,Urban,2024-01-15,Yes,
Florida Memorial College,Private,,0.6,,,1100,,,25,0.5,0.7,0.7,10000,15000,10000,12000,1000,,,,45,Urban,Rolling,Yes,
"Florida Metropolitan University, Fort Lauderdale College",Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,10000,15000,10000,12000,2000,,,,40,Urban,Rolling,Yes,
"Florida Metropolitan University, Tampa College",Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,10000,15000,10000,12000,1000,,,,39,Urban,Rolling,Yes,
"Florida Metropolitan University, Tampa College Brandon",Private For-Profit,,0.7,,,1100,,,24,0.5,0.7,0.6,8000,15000,8000,12000,1000,,,,41,Suburban,Rolling,Yes,
"Florida Metropolitan University, Tampa College Lakeland",Private For-Profit,,0.7,,,1100,,,25,0.5,0.7,0.6,8000,15000,8000,12000,1000,,,,42,Suburban,Rolling,Yes,
Florida Southern College,Private,,0.5,,,1200,,,25,0.6,0.75,0.8,20000,30000,20000,12000,2000,,,,51,Suburban,2024-01-15,Yes,
Florida State University,Public,,0.36,,,1280,,,27,0.73,0.88,0.61,8000,21000,8000,13000,42000,,,,61,Urban,2024-01-01,Yes,
Florida University of Medicine,Public,,0.6,,,1250,,,27,0.65,0.8,0.65,8000,30000,8000,12000,20000,,,,53,Urban,2024-01-15,Yes,
Fontbonne College,Private,,0.5,,,1150,,,24,0.6,0.75,0.8,20000,32000,20000,12000,1500,,,,49,Urban,2024-01-15,Yes,
Foothill-De Anza Community College District,Public,,0.7,,,1100,,,25,0.6,0.75,0.6,8000,20000,8000,12000,15000,,,,48,Suburban,Rolling,Yes,
Fordham University,Private,,0.45,,,1350,,,30,0.85,0.9,0.75,20000,55000,20000,15000,15000,,,,64,Urban,2024-01-01,Yes,
Forest Institute of Professional Psychology,Private,,0.6,,,1100,,,25,0.7,0.8,0.7,15000,20000,15000,12000,3000,,,,51,Urban,Rolling,Yes,
Fort Hays State University,Public,,0.7,,,1100,,,24,0.6,0.75,0.6,8000,18000,8000,12000,15000,,,,47,Rural,2024-08-01,Yes,
Fort Lewis College,Public,,0.65,,,1150,,,24,0.58,0.75,0.6,8000,29000,8000,13000,3500,,,,46,Rural,2024-01-15,Yes,
Fort Valley State College,Public,,0.7,,,1000,,,20,0.5,0.7,0.6,7000,15000,7000,12000,3000,,,,40,Rural,2024-01-01,Yes,
Framingham State University,Public,4,0.84,1120,1270,1195,19,28,24,0.5,0.71,0.65,17,16640,16057,15310,2566,12.0,61,3519,42,Suburban,February 15,Considered if submitted,Required
Francis Marion University,Public,4,0.86,870,1100,985,16,24,20,0.43,0.7,0.68,11,11231,16461,10932,2628,13.0,48,5442,37,Rural,Not available,Recommended,Required
Franciscan School of Theology,Private,,0.5,,,1200,,,25,0.75,0.85,0.8,20000,25000,20000,12000,300,,,,52,Urban,2024-01-15,Yes,
Franciscan University of Steubenville,Private,4,0.58,1110,1350,1230,22,27,24,0.75,0.87,0.55,24,24490,24784,10800,2668,17.0,42,,55,Suburban,Not available,Considered if submitted,Required
Frank Lloyd Wright School of Architecture,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,30000,20000,12000,300,,,,51,Suburban,Rolling,Yes,
Franklin and Marshall College,Private,,0.2,,,1400,,,32,0.88,0.93,0.8,25000,60000,25000,15000,2000,,,,71,Urban,2024-01-01,Yes,
Franklin College,Private,,0.65,,,1150,,,24,0.65,0.75,0.75,15000,32000,15000,12000,1000,,,,45,Suburban,2024-01-15,Yes,
Franklin Pierce College,Private,,0.6,,,1100,,,25,0.65,0.75,0.7,20000,32000,20000,13000,1500,,,,48,Rural,2024-01-15,Yes,
Franklin Pierce Law Center,Private,,0.4,,,1300,,,28,0.75,0.85,0.7,20000,40000,20000,15000,600,,,,58,Urban,2024-01-15,Yes,
Franklin University,Private For-Profit,,0.7,,,1100,,,25,0.5,0.7,0.6,8000,15000,8000,12000,5000,,,,45,Urban,Rolling,Yes,
Franklin W. Olin College of Engineering,Private,,0.15,,,1450,,,32,0.9,0.95,0.85,25000,58000,25000,15000,400,,,,76,Suburban,2024-01-15,Yes,
Fred Hutchinson Cancer Research Center,Private,,0.2,,,1450,,,32,0.85,0.95,0.7,25000,50000,25000,15000,3000,,,,71,Urban,2024-01-15,Yes,
Free University (Virginia Theological University),Private,,0.5,,,1150,,,24,0.7,0.75,0.7,15000,20000,15000,12000,800,,,,50,Suburban,2024-01-15,Yes,
Free Will Baptist Bible College,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,20000,20000,20000,12000,500,,,,48,Urban,2024-01-15,Yes,
Freed-Hardeman University,Private,,0.5,,,1150,,,24,0.6,0.7,0.7,15000,20000,15000,12000,1500,,,,49,Rural,2024-01-15,Yes,
Fresno City College,Public,,0.7,,,1050,,,21,0.5,0.7,0.6,8000,20000,8000,12000,15000,,,,43,Urban,Rolling,Yes,
Fresno Pacific University,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,34000,20000,12000,2000,,,,51,Suburban,2024-01-15,Yes,
Friends University,Private,,0.5,,,1100,,,24,0.6,0.7,0.7,15000,20000,15000,12000,1500,,,,49,Urban,2024-01-15,Yes,
Frostburg State University,Public,,0.65,,,1100,,,24,0.58,0.75,0.65,8000,20000,8000,12000,5000,,,,47,Rural,2024-01-15,Yes,
Full Sail University,Private For-Profit,,0.7,,,1100,,,24,0.6,0.7,0.8,15000,20000,15000,12000,8000,,,,46,Suburban,Rolling,Yes,
Furman University,Private,,0.2,,,1350,,,30,0.85,0.9,0.7,25000,52000,25000,13000,2800,,,,69,Suburban,2024-01-15,Yes,
Gallaudet University,Public,,0.6,,,1100,,,25,0.5,0.7,0.7,10000,30000,10000,12000,1200,,,,45,Urban,2024-01-15,Yes,
Gannon University,Private,,0.5,,,1150,,,24,0.6,0.75,0.7,15000,32000,15000,13000,4000,,,,51,Urban,2024-01-15,Yes,
Gardner Webb University,Private,,0.5,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,3500,,,,51,Rural,2024-01-15,Yes,
Gemological Institute of America,Private For-Profit,,0.5,,,1200,,,25,0.85,0.8,0.7,15000,25000,15000,12000,1000,,,,54,Suburban,Rolling,Yes,
Geneva College,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,30000,20000,12000,1200,,,,50,Suburban,2024-01-15,Yes,
George Fox University,Private,,0.6,,,1200,,,25,0.7,0.8,0.7,20000,36000,20000,13000,4000,,,,51,Suburban,2024-01-15,Yes,
George Mason University,Public,,0.68,,,1300,,,28,0.68,0.85,0.65,8000,36000,8000,13000,37000,,,,51,Suburban,2024-01-15,Yes,
George Washington University,Private,,0.4,,,1350,,,30,0.86,0.93,0.7,20000,60000,20000,15000,27000,,,,65,Urban,2024-01-15,Yes,
George Wythe College,Private,,0.6,,,1150,,,24,0.7,0.8,0.7,10000,15000,10000,12000,800,,,,48,Urban,Rolling,Yes,
Georgetown College,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,30000,20000,12000,1200,,,,52,Suburban,2024-01-15,Yes,
Georgetown University,Private,,0.14,,,1450,,,32,0.94,0.96,0.85,30000,60000,30000,15000,19000,,,,81,Urban,2024-01-10,Yes,
Georgia Baptist College of Nursing,Private,,0.5,,,1150,,,24,0.7,0.8,0.7,15000,20000,15000,12000,800,,,,51,Urban,2024-01-15,Yes,
Georgia College & State University,Public,,0.5,,,1150,,,25,0.6,0.8,0.6,7000,20000,7000,12000,6000,,,,54,Rural,2024-01-01,Yes,
Georgia Health Sciences University,Public,,0.5,,,1200,,,25,0.6,0.8,0.6,8000,30000,8000,12000,6000,,,,54,Urban,2024-01-01,Yes,
Georgia Institute of Technology,Public,,0.2,,,1450,,,32,0.87,0.96,0.6,8000,30000,8000,12000,40000,,,,72,Urban,2024-01-01,No,
Georgia School of Professional Psychology,Private,,0.5,,,1200,,,25,0.75,0.85,0.7,15000,25000,15000,12000,800,,,,53,Urban,Rolling,Yes,
Georgia Southern University,Public,,0.6,,,1150,,,24,0.6,0.75,0.6,7000,20000,7000,12000,26000,,,,49,Rural,2024-01-01,Yes,
Georgia Southwestern University,Public,,0.6,,,1100,,,25,0.5,0.7,0.6,8000,12000,8000,12000,2500,,,,46,Rural,2024-01-01,Yes,
Georgia State University,Public,,0.6,,,1150,,,24,0.6,0.8,0.6,8000,29000,8000,12000,32000,,,,49,Urban,2024-01-01,Yes,
Georgian Court University,Private,4,0.71,1055,1275,1165,20,24,22,0.55,0.76,0.76,21,21072,36001,13600,1174,11.0,50,2274,45,Suburban,August 15,Considered if submitted,Required
Gettysburg College,Private,,0.4,,,1320,,,28,0.85,0.9,0.75,20000,57000,20000,14000,2500,,,,62,Suburban,2024-01-01,Yes,
Glendale University College of Law,Private For-Profit,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,500,,,,46,Urban,Rolling,Yes,
Glenville State University,Public,4,1.0,850,1020,935,16,22,19,0.39,0.63,0.6,17,16745,7000,11726,1184,17.0,23,5254,28,Rural,Not available,Required,Required
Gods Bible School And College,Private,4,0.64,,,1100,,,25,0.64,0.78,0.75,7,7233,15000,5160,500,9.0,15,,32,Urban,Not available,Not available,Required
Goddard College,Private,4,0.86,,,1150,,,24,0.75,0.8,0.8,29,29344,20000,2036,160,6.0,14,,28,Rural,Not available,Not available,Considered but not required
Golden Gate University,Private,4,0.5,,,1200,,,25,0.6,0.6,0.17,20000,30000,20000,15040,156,7.0,43,4329,11,Urban,August 11,Neither required nor recommended,Not available
Goldey-Beacom College,Private,4,0.55,860,1070,965,15,17,16,0.57,0.7,0.7,17,17417,15000,18054,614,20.0,28,5255,43,Suburban,Not available,Recommended,Required
Gonzaga University,Private,,0.4,,,1250,,,27,0.82,0.87,0.8,20000,50000,20000,13000,7500,,,,62,Urban,2024-01-15,Yes,
Gordon College,Private,4,0.86,1143,1330,1236,25,31,28,0.68,0.84,0.5,25,25250,22388,14150,1278,10.0,79,3417,47,Suburban,August 28,Considered if submitted,Recommended
Gordon Conwell Theological Seminary,Private,,0.5,,,1200,,,25,0.85,0.8,0.75,20000,20000,20000,12000,500,,,,53,Suburban,2024-01-15,Yes,
Goshen College,Private,4,0.84,890,1060,975,26,30,28,0.6,0.8,0.7,17,17040,36644,36644,70,9.0,54,1251,45,"$17,040",July 1,Recommended,Required
Goucher College,Private,4,0.78,1115,1340,1228,26,30,28,0.6,0.79,0.69,29,28749,51113,16650,964,9.0,56,5257,48,Suburban,January 15,Considered if submitted,Required
Governors State University,Public,4,0.48,,,1100,13,14,14,0.2,0.55,0.6,11,20,11,12129,2553,11.0,67,807,39,Suburban,April 1,Considered if submitted,Required
Grace Bible College,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,20000,20000,20000,12000,500,,,,48,Suburban,2024-01-01,Yes,
Grace College,Private,,0.5,,,1100,,,25,0.7,0.8,0.75,15000,20000,15000,12000,1000,,,,52,Suburban,2024-01-15,Yes,
Grace University,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,1500,,,,52,Urban,2024-01-15,Yes,
Graceland University,Private,4,0.81,950,1100,1025,17,23,20,0.38,0.56,0.72,17,16632,20278,11460,791,12.0,38,6249,35,Rural,Not available,Neither required nor recommended,Required
Graduate Theological Union,Private,,0.5,,,1200,,,25,0.75,0.85,0.8,20000,20000,20000,12000,500,,,,52,Urban,2024-01-15,Yes,
Grambling State University,Public,4,0.42,,,1050,,,21,0.32,0.72,0.6,19,32,25,12000,5000,25.0,43,6250,29,"$19,092",August 31,Required,Required
Grand Canyon University,Private For-Profit,,0.7,,,1100,,,25,0.5,0.7,0.6,8000,18000,8000,12000,20000,,,,45,Urban,Rolling,Yes,
Grand Valley State University,Public,,0.7,,,1150,,,24,0.6,0.8,0.6,8000,25000,8000,12000,25000,,,,47,Suburban,2024-01-15,Yes,
Grand View University,Private,4,0.98,860,1170,1015,17,23,20,0.56,0.68,0.81,22,22296,29690,11966,1525,12.0,59,,34,Urban,August 15,Required,Required
Grantham University,Private For-Profit,,0.7,,,1050,,,21,0.5,0.7,0.6,7000,8000,7000,12000,5000,,,,42,Urban,Rolling,Yes,
Gratz College,Private,4,0.6,,,1100,,,25,0.7,0.75,0.7,15000,20000,15000,12000,500,12.0,13,,3,Suburban,Not available,Not available,Recommended
Great Lakes Christian College,Private,4,0.6,,,1100,,,25,0.22,0.77,0.8,19,22,14,12000,500,14.0,15,,14,"$19,390",Not available,Required,Not available
Green Mountain College,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,30000,20000,12000,600,,,,49,Rural,2024-01-15,Yes,
Greensboro College,Private,,0.5,,,1100,,,25,0.6,0.7,0.7,20000,30000,20000,12000,1200,,,,49,Urban,2024-01-15,Yes,
Greenville College,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,1000,,,,46,Rural,2024-01-15,Yes,
Grinnell College,Private,,0.19,,,1400,,,32,0.87,0.93,0.85,25000,60000,25000,13000,1700,,,,75,Rural,2024-01-15,Yes,
Grove City College,Private,,0.6,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,2500,,,,50,Rural,2024-01-15,Yes,
Guilford College,Private,,0.5,,,1150,,,24,0.65,0.75,0.75,25000,40000,25000,13000,1200,,,,50,Suburban,2024-01-15,Yes,
Gustavus Adolphus College,Private,,0.6,,,1250,,,27,0.8,0.85,0.8,25000,50000,25000,12000,2500,,,,54,Rural,2024-01-15,Yes,
Gwynedd-Mercy College,Private,,0.5,,,1150,,,24,0.65,0.75,0.8,20000,35000,20000,12000,2000,,,,51,Suburban,2024-01-15,Yes,
Hagerstown Community College,Public,,0.7,,,1050,,,21,0.5,0.7,0.6,7000,16000,7000,12000,3000,,,,41,Suburban,Rolling,Yes,
Hamilton College,Private,,0.2,,,1400,,,32,0.9,0.95,0.7,25000,60000,25000,14000,1900,,,,71,Rural,2024-01-01,Yes,
Hamilton Technical College,Private For-Profit,,0.7,,,1050,,,21,0.6,0.75,0.6,8000,15000,8000,12000,800,,,,41,Urban,Rolling,Yes,
Hamline University,Private,,0.5,,,1150,,,25,0.7,0.8,0.8,20000,42000,20000,12000,3000,,,,54,Urban,2024-01-15,Yes,
Hampden-Sydney College,Private,,0.4,,,1250,,,27,0.8,0.85,0.75,20000,48000,20000,13000,1000,,,,58,Rural,2024-01-15,Yes,
Hampshire College,Private,,0.5,,,1300,,,28,0.7,0.8,0.8,25000,54000,25000,15000,800,,,,54,Rural,2024-01-01,Yes,
Hampton College,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,25000,15000,12000,6000,,,,55,Urban,2024-01-15,Yes,
Hampton University,Private,,0.5,,,1100,,,24,0.6,0.75,0.7,15000,20000,15000,12000,4000,,,,51,Suburban,2024-01-15,Yes,
Hannibal-Lagrange College,Private,,0.6,,,1100,,,25,0.6,0.7,0.7,15000,20000,15000,12000,800,,,,46,Rural,2024-08-01,Yes,
Hanover College,Private,,0.5,,,1150,,,24,0.7,0.8,0.7,20000,40000,20000,12000,1000,,,,51,Rural,2024-01-01,Yes,
Hardin-Simmons University,Private,,0.5,,,1100,,,25,0.6,0.7,0.7,15000,30000,15000,12000,1500,,,,50,Suburban,2024-01-15,Yes,
Harding University,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,15000,20000,15000,12000,5000,,,,55,Rural,2024-01-15,Yes,
Harding University Graduate School of Religion,Private,,0.5,,,1200,,,25,0.7,0.8,0.8,20000,20000,20000,12000,500,,,,51,Rural,2024-01-15,Yes,
Harrington Institute of Interior Design,Private,,0.5,,,1150,,,24,0.7,0.8,0.75,20000,25000,20000,12000,600,,,,51,Urban,Rolling,Yes,
Harris-Stowe State University,Public,4,0.51,,,1100,15,19,17,0.27,0.64,0.6,9,9302,8000,13588,1383,8.0,23,,42,Urban,Not available,Required,Required
Hartford College for Women,Private,,0.5,,,1200,,,25,0.75,0.85,0.7,20000,30000,20000,12000,1000,,,,53,Urban,2024-01-15,Yes,
Hartford Graduate Center (Rensselaer at Hartford),Private,,0.5,,,1250,,,27,0.7,0.8,0.7,20000,25000,20000,12000,1000,,,,53,Urban,2024-01-15,Yes,
Hartwick College,Private,,0.5,,,1150,,,24,0.65,0.75,0.7,20000,45000,20000,14000,1500,,,,50,Suburban,2024-01-15,Yes,
Harvard College,Private,4,0.04,,,1480,34,36,35,0.98,0.98,0.54,20000,55000,74387,74387,54,7.0,,3434,69,Not available,January 1,Required,Considered but not required
Harvey Mudd College,Private,4,0.13,1510,1560,1535,34,36,35,0.94,0.96,0.44,43,42720,60616,22318,921,8.0,31,4341,83,Suburban,January 5,Considered if submitted,Required
Hastings College,Private,4,0.65,970,1198,1084,18,27,22,0.53,0.66,0.68,22,21821,31475,12590,893,14.0,67,6270,44,Rural,August 1,Required for some,Required
Haverford College,Private,,0.12,1470,1540,1505,33,35,34,0.89,0.94,0.75,23,89,9,20032,1430,9.0,50,2289,82,"$22,828",January 15,Considered if submitted,Required
Hawaii Pacific University,Private,4,0.86,1018,1190,1104,19,27,23,0.41,0.56,0.6,32,32204,25311,20976,2392,15.0,56,,37,Urban,August 25,Considered if submitted,Required
Heartland Baptist Bible College,Private,,0.7,,,1100,,,25,0.7,0.75,0.8,15000,15000,15000,12000,300,,,,44,Suburban,Rolling,Yes,
Hebrew College,Private,,0.5,,,1200,,,25,0.7,0.8,0.8,20000,30000,20000,12000,500,,,,51,Suburban,2024-01-15,Yes,
Heidelberg University,Private,4,0.86,1030,1185,1108,19,24,22,0.5,0.74,0.78,20,19620,26790,12715,915,15.0,51,1292,38,Rural,Not available,Considered if submitted,Required
Henderson State University,Public,4,0.71,,,1100,,,24,0.39,0.57,0.65,17,16929,8000,8680,3500,16.0,88,6272,22,Rural,Not available,Required,Required
Hendrix College,Private,4,0.56,1120,1330,1225,23,31,27,0.69,0.79,0.56,24,24236,35859,14746,1100,11.0,29,6273,55,Suburban,August 1,Considered if submitted,Required
Heritage University,Private,4,0.77,,,1100,,,25,0.4,0.57,0.7,12,11934,17486,17868,812,7.0,43,,24,Rural,August 22,Not available,Not available
Hesser College,Private For-Profit,,0.7,,,1100,,,25,0.6,0.7,0.7,10000,15000,10000,12000,1000,,,,43,Urban,Rolling,Yes,
High Point University,Private,4,0.76,1120,1280,1200,23,29,26,0.69,0.85,0.43,44,43578,26086,20198,4965,17.0,85,5293,49,Suburban,March 1,Considered if submitted,Required
Hilbert College,Private,,0.6,,,1100,,,25,0.65,0.75,0.7,15000,20000,15000,13000,800,,,,47,Suburban,2024-01-15,Yes,
Hillsdale College,Private,,0.2,,,1350,,,30,0.85,0.9,0.7,15000,20000,15000,12000,1500,,,,68,Rural,2024-01-15,No,
Hiram College,Private,4,0.92,830,1030,930,16,23,20,0.59,0.72,0.81,21,21362,23164,12340,777,11.0,51,1297,36,Rural,Not available,Neither required nor recommended,Required
Hobart and William Smith Colleges,Private,4,0.64,1180,1370,1275,28,32,30,0.73,0.86,0.67,33,33172,54912,15925,1786,11.0,54,2294,56,Suburban,February 1,Considered if submitted,Required
Hobe Sound Bible College,Private,4,0.7,,,1100,,,25,0.67,0.71,0.8,10,10226,10000,12000,300,6.0,18,,22,Suburban,Not available,Required,Not available
Hodges University,Private For-Profit,,0.7,,,1100,,,24,0.5,0.7,0.6,8000,15000,8000,12000,1000,,,,41,Suburban,Rolling,Yes,
Hofstra University,Private,4,0.68,1250,1380,1315,27,32,30,0.67,0.84,0.66,36,35687,38924,19318,6488,13.0,198,,56,Suburban,Not available,Considered if submitted,Required
Hollins University,Private,,0.5,,,1200,,,25,0.7,0.8,0.75,20000,50000,20000,13000,800,,,,51,Suburban,2024-01-15,Yes,
Holy Apostles College,Private,,0.6,,,1100,,,25,0.7,0.75,0.8,20000,20000,20000,12000,500,,,,48,Suburban,Rolling,Yes,
Holy Cross College,Private,,0.5,,,1250,,,27,0.8,0.85,0.75,20000,30000,20000,12000,700,,,,55,Suburban,2024-01-15,Yes,
Holy Family College,Private,,0.5,,,1100,,,25,0.65,0.75,0.8,20000,30000,20000,12000,1500,,,,51,Urban,2024-01-15,Yes,
Holy Names College,Private,,0.5,,,1150,,,24,0.65,0.75,0.75,20000,35000,20000,13000,800,,,,49,Urban,2024-01-15,Yes,
Hood College,Private,,0.5,,,1150,,,24,0.7,0.8,0.7,20000,40000,20000,13000,2500,,,,52,Suburban,2024-01-15,Yes,
Hope College,Private,,0.4,,,1250,,,28,0.75,0.85,0.7,20000,35000,20000,13000,3200,,,,60,Suburban,2024-01-15,Yes,
Hope International University,Private,,0.6,,,1100,,,25,0.6,0.7,0.75,20000,30000,20000,12000,1500,,,,47,Suburban,2024-01-15,Yes,
Houghton College,Private,,0.5,,,1200,,,25,0.7,0.8,0.7,20000,20000,20000,13000,800,,,,51,Rural,2024-01-01,Yes,
Houston Baptist University,Private,,0.5,,,1150,,,24,0.6,0.75,0.7,15000,32000,15000,12000,3000,,,,51,Urban,2024-01-15,Yes,
Howard Payne University,Private,,0.5,,,1100,,,24,0.6,0.7,0.7,15000,30000,15000,12000,1200,,,,49,Rural,2024-01-15,Yes,
Howard University,Private,,0.4,,,1200,,,25,0.7,0.8,0.7,12000,30000,12000,15000,10000,,,,58,Urban,2024-01-15,Yes,
Humboldt State University,Public,,0.65,,,1150,,,24,0.6,0.75,0.6,8000,20000,8000,13000,7000,,,,48,Rural,2024-01-15,Yes,
