name,college_type,college_years,acceptance_rate_pct,sat_25th_percentile,sat_75th_percentile,sat_50th_percentile,act_25th_percentile,act_75th_percentile,act_50th_percentile,graduation_rate_pct,retention_rate_pct,pct_receiving_aid_pct,avg_after_aid_val,avg_after_aid_costs_val,avg_aid_package_val,avg_housing_cost_val,undergrad_students_num,student_faculty_ratio_num,num_majors_num,college_board_code_num,college_score,setting,rd_due_date,test_optional,gpa_optional
City University of New York: Hunter College,,,,,,1260,,,28,,,,,,,,,,,,19,,,Considered if submitted,
City University of New York: John Jay College of Criminal Justice,,,,,,1200,,,25,,,,,,,,,,,,17,,,Considered if submitted,
"City University of New York, Lehman College",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"City University of New York, Medgar Evers College",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"City University of New York, New York City Technical College",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"City University of New York, Queens College",,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
"City University of New York, School of Law at Queens College",,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
"City University of New York, York College",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Claflin College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Claremont Graduate University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Claremont Lincoln University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Claremont McKenna College,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Clarion University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Clark Atlanta University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Clark University,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Clarke College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Clarkson College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Clarkson University,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Clayton College & State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Clearwater Christian College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Cleary College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Clemson University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
"Cleveland Chiropractic College, Kansas City",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"Cleveland Chiropractic College, Los Angeles",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Cleveland Institute of Art,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Cleveland Institute of Music,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Cleveland State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Coastal Carolina University,,,,,,1106,,,22,,,,,,,,,,,,15,,,Required for some,
Coe College,,,,,,1125,,,25,,,,,,,,,,,,17,,,Required for some,
Cogswell Polytechnical College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Coker University,,,,,,1050,,,20,,,,,,,,,,,,14,,,Recommended,
Colby College,,,,,,1500,,,33,,,,,,,,,,,,23,,,Considered if submitted,
Colby-Sawyer College,,,,,,1095,,,22,,,,,,,,,,,,15,,,Considered if submitted,
Coleman College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Colgate University,,,,,,1490,,,34,,,,,,,,,,,,24,,,Considered if submitted,
College for Creative Studies,,,,,,1200,,,25,,,,,,,,,,,,17,,,Required,
College for Financial Planning,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
College for Lifelong Learning,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
College Misericordia,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
College of Aeronautics,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
College of Charleston,,,,,,1230,,,26,,,,,,,,,,,,18,,,Yes,
College of DuPage,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
College Of Idaho,,,,,,1150,,,27,,,,,,,,,,,,19,,,Required for some,
College of Mount St. Joseph,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
College of Mount St. Vincent,,,,,,1094,,,25,,,,,,,,,,,,17,,,Considered if submitted,
College of New Rochelle,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
University of Notre Dame,,,,,,1505,,,34,,,,,,,,,,,,24,,,Considered if submitted,
College of Notre Dame of Maryland,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
College of St. Benedict and St. John's University,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
College of St. Catherine,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
College of St. Elizabeth,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
College of St. Joseph,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
University of St. Mary,,,,,,948,,,20,,,,,,,,,,,,14,,,Considered if submitted,
College of St. Rose,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
College of St. Scholastica,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
College of the Atlantic,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
College of the Holy Cross,,,,,,1380,,,31,,,,,,,,,,,,21,,,Yes,
College of the Ozarks,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
College of Visual Arts,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
College of William and Mary,,,,,,1465,,,33,,,,,,,,,,,,23,,,Considered if submitted,
"CollegeAmerica, Denver",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"CollegeAmerica, Phoenix",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Colorado Christian University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Considered if submitted,
Colorado College,,,,,,1340,,,31,,,,,,,,,,,,21,,,Considered if submitted,
Colorado School of Mines,,,,,,1335,,,27,,,,,,,,,,,,19,,,Considered if submitted,
Colorado State University,,,,,,1170,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Colorado State University: Pueblo,,,,,,985,,,22,,,,,,,,,,,,15,,,Considered if submitted,
Colorado Technical University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Columbia College Chicago,,,,,,1150,,,24,,,,,,,,,,,,16,,,Neither required nor recommended,
Columbia College Hollywood,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Columbia College of Missouri,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Columbia College South Carolina,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Columbia Commonwealth University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Columbia International University,,,,,,1092,,,20,,,,,,,,,,,,14,,,Recommended,
Columbia Southern University,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Columbia Union College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Columbia University,,,,,,1535,,,35,,,,,,,,,,,,24,,,Considered if submitted,
Columbus College of Art and Design,,,,,,1045,,,21,,,,,,,,,,,,14,,,Neither required nor recommended,
Columbus State University,,,,,,1100,,,21,,,,,,,,,,,,15,,,Required,
Columbus University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Community College of Denver,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Concord University,,,,,,980,,,20,,,,,,,,,,,,14,,,Recommended,
"Concordia College, Ann Arbor",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
"Concordia College, Bronxville",,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Concordia College: Moorhead,,,,,,1145,,,24,,,,,,,,,,,,16,,,Required,
"Concordia College, Selma",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"Concordia College, Seward",,,,,,1150,,,25,,,,,,,,,,,,17,,,Yes,
Concordia University St. Paul,,,,,,1150,,,21,,,,,,,,,,,,16,,,Neither required nor recommended,
"Concordia University, Austin",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Concordia University Irvine,,,,,,1160,,,25,,,,,,,,,,,,17,,,Required for some,
"Concordia University, Mequon",,,,,,1150,,,25,,,,,,,,,,,,17,,,Yes,
"Concordia University, Portland",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
"Concordia University, River Forest",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Connecticut College,,,,,,1280,,,30,,,,,,,,,,,,21,,,Considered if submitted,
Converse University,,,,,,1100,,,22,,,,,,,,,,,,15,,,Considered if submitted,
Conway School of Landscape Design,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Coppin State University,,,,,,1000,,,20,,,,,,,,,,,,14,,,Required,
Cornell College,,,,,,1195,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Cornell University,,,,,,1535,,,34,,,,,,,,,,,,24,,,Required,
Cornish College of the Arts,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Cosmopolitan University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Covenant College,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Cranbrook Academy of Art,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Creighton University,,,,,,1330,,,28,,,,,,,,,,,,19,,,Considered if submitted,
Crichton College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Crown College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required,
Culver-Stockton College,,,,,,1060,,,18,,,,,,,,,,,,14,,,Considered if submitted,
Cumberland University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required,
Cumberland University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Required,
Curry College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required for some,
D'Youville College,,,,,,1144,,,25,,,,,,,,,,,,17,,,Neither required nor recommended,
Daemen University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Considered if submitted,
Dakota State University,,,,,,1295,,,24,,,,,,,,,,,,19,,,Recommended,
Dakota Wesleyan University,,,,,,1095,,,22,,,,,,,,,,,,15,,,Neither required nor recommended,
Dallas Baptist University,,,,,,1095,,,22,,,,,,,,,,,,15,,,Required for some,
Dallas Christian College,,,,,,898,,,18,,,,,,,,,,,,12,,,Required,
Dana College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Daniel Webster College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Danville Area Community College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Not available,
Dartmouth College,,,,,,1535,,,34,,,,,,,,,,,,24,,,Required,
Darton College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"Davenport College of Business, Grand Rapids",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
"Davenport College of Business, Kalamazoo",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
"Davenport College of Business, Lansing",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Davidson College,,,,,,1425,,,32,,,,,,,,,,,,22,,,Considered if submitted,
Davis and Elkins College,,,,,,1020,,,20,,,,,,,,,,,,14,,,Required,
Deaconess College of Nursing,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Delaware State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required,
Delaware Valley University,,,,,,1178,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Delta International University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Delta State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Denison University,,,,,,1380,,,30,,,,,,,,,,,,21,,,Considered if submitted,
Denver Paralegal Institute,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Denver Technical College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
DePaul University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
DePauw University,,,,,,1240,,,28,,,,,,,,,,,,19,,,Considered if submitted,
DeSales University,,,,,,1170,,,26,,,,,,,,,,,,18,,,Considered if submitted,
Design Institute of San Diego,,,,,,1200,,,25,,,,,,,,,,,,17,,,Considered if submitted,
Detroit College of Business,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Detroit College of Business - Flint,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Detroit College of Business - Warren,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Detroit College of Law,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
"DeVry Institute of Technology, Chicago",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"DeVry Institute of Technology, Columbus",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
"DeVry Institute of Technology, Decatur",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"DeVry Institute of Technology, DuPage",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"DeVry Institute of Technology, Irving",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
"DeVry Institute of Technology, Kansas City",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"DeVry Institute of Technology, Phoenix",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"DeVry Institute of Technology, Pomona",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Dickinson College,,,,,,1320,,,29,,,,,,,,,,,,20,,,Yes,
Dickinson State University,,,,,,1035,,,20,,,,,,,,,,,,14,,,Neither required nor recommended,
Dillard University,,,,,,1100,,,21,,,,,,,,,,,,15,,,Required,
Divine Word College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Recommended,
Dixie College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Doane University,,,,,,1084,,,22,,,,,,,,,,,,15,,,Recommended,
Dominican University,,,,,,995,,,21,,,,,,,,,,,,14,,,Considered if submitted,
Dominican College of San Rafael,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Dominican School of Philosophy and Theology,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Dominican University,,,,,,995,,,21,,,,,,,,,,,,14,,,Considered if submitted,
Dominion College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Dordt College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Dowling College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Drake University,,,,,,1230,,,26,,,,,,,,,,,,18,,,Yes,
Drew University,,,,,,1225,,,27,,,,,,,,,,,,19,,,Considered if submitted,
Drexel University,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Drury University,,,,,,1210,,,26,,,,,,,,,,,,18,,,Recommended,
Duke University,,,,,,1480,,,33,,,,,,,,,,,,23,,,Yes,
Duluth Business University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Duquesne University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Earlham College,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
EarthNet Institute,,,,,,1250,,,26,,,,,,,,,,,,18,,,Yes,
East Carolina University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
East Central University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
East Stroudsburg State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
East Tennessee State University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
East Texas Baptist University,,,,,,1100,,,23,,,,,,,,,,,,16,,,Yes,
East-West University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Recommended,
Eastern College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Eastern Connecticut State University,,,,,,1100,,,23,,,,,,,,,,,,16,,,Yes,
Eastern Conservatory of Music,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Eastern Illinois University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Eastern Kentucky University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Eastern Mennonite University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Eastern Michigan University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Eastern Nazarene College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Eastern New Mexico University,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Eastern Oregon University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Eastern Virginia Medical School,,,,,,1300,,,28,,,,,,,,,,,,19,,,No,
Eastern Washington University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Eckerd College,,,,,,1260,,,28,,,,,,,,,,,,19,,,Yes,
Edgewood College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Edinboro University of Pennsylvania,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Edison Community College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Edward Waters College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Elizabeth City State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Elizabethtown College,,,,,,1150,,,25,,,,,,,,,,,,17,,,Yes,
Elmhurst College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Elmira College,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Elms College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Elon College,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
"Embry Riddle Aeronautical University, Prescott",,,,,,1300,,,28,,,,,,,,,,,,19,,,No,
Embry-Riddle Aeronautical University,,,,,,1300,,,28,,,,,,,,,,,,19,,,No,
Emerson College,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Emmanuel College,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Emmanuel College Georgia,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Emmaus Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Emory & Henry College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Emory University,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Emporia State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Erskine College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Eugene Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Eureka College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Evangel University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Evergreen State College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Excel College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Excelsior College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Fairfield University,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
"Fairleigh Dickinson University, Florham-Madison Campus",,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
"Fairleigh Dickinson University, Teaneck-Hackensack Campus",,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Fairmont State College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Fashion Institute of New York,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Faulkner University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Fayetteville State University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Felician College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Ferris State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Ferrum College,,,,,,1100,,,23,,,,,,,,,,,,16,,,Yes,
Fielding Institute,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Finch University of Health Sciences - The Chicago Medical School,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Finlandia University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Fisher College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Fisk University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Fitchburg State College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Flagler College,,,,,,1180,,,25,,,,,,,,,,,,17,,,Yes,
Florida Agricultural and Mechanical University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Florida Atlantic University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Florida Christian College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Florida Community College at Jacksonville,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Florida Gulf Coast University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Florida Institute of Technology,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Florida International University,,,,,,1230,,,25,,,,,,,,,,,,17,,,Yes,
Florida Memorial College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
"Florida Metropolitan University, Fort Lauderdale College",,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
"Florida Metropolitan University, Tampa College",,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
"Florida Metropolitan University, Tampa College Brandon",,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
"Florida Metropolitan University, Tampa College Lakeland",,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Florida Southern College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Florida State University,,,,,,1280,,,27,,,,,,,,,,,,19,,,Yes,
Florida University of Medicine,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Fontbonne College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Foothill-De Anza Community College District,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Fordham University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Forest Institute of Professional Psychology,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Fort Hays State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Fort Lewis College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Fort Valley State College,,,,,,1000,,,20,,,,,,,,,,,,14,,,Yes,
Framingham State University,,,,,,1195,,,24,,,,,,,,,,,,17,,,Considered if submitted,
Francis Marion University,,,,,,985,,,20,,,,,,,,,,,,14,,,Recommended,
Franciscan School of Theology,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Franciscan University of Steubenville,,,,,,1230,,,24,,,,,,,,,,,,17,,,Considered if submitted,
Frank Lloyd Wright School of Architecture,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Franklin and Marshall College,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
Franklin College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Franklin Pierce College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Franklin Pierce Law Center,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
Franklin University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Franklin W. Olin College of Engineering,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Fred Hutchinson Cancer Research Center,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Free University (Virginia Theological University),,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Free Will Baptist Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Freed-Hardeman University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Fresno City College,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Fresno Pacific University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Friends University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Frostburg State University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Full Sail University,,,,,,1100,,,24,,,,,,,,,,,,16,,,Yes,
Furman University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
Gallaudet University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Gannon University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Gardner Webb University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Gemological Institute of America,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Geneva College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
George Fox University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
George Mason University,,,,,,1300,,,28,,,,,,,,,,,,19,,,Yes,
George Washington University,,,,,,1350,,,30,,,,,,,,,,,,21,,,Yes,
George Wythe College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Georgetown College,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Georgetown University,,,,,,1450,,,32,,,,,,,,,,,,22,,,Yes,
Georgia Baptist College of Nursing,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Georgia College & State University,,,,,,1150,,,25,,,,,,,,,,,,17,,,Yes,
Georgia Health Sciences University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Georgia Institute of Technology,,,,,,1450,,,32,,,,,,,,,,,,22,,,No,
Georgia School of Professional Psychology,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Georgia Southern University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Georgia Southwestern University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Georgia State University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Georgian Court University,,,,,,1165,,,22,,,,,,,,,,,,16,,,Considered if submitted,
Gettysburg College,,,,,,1320,,,28,,,,,,,,,,,,19,,,Yes,
Glendale University College of Law,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Glenville State University,,,,,,935,,,19,,,,,,,,,,,,13,,,Required,
Gods Bible School And College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Goddard College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Not available,
Golden Gate University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Neither required nor recommended,
Goldey-Beacom College,,,,,,965,,,16,,,,,,,,,,,,12,,,Recommended,
Gonzaga University,,,,,,1250,,,27,,,,,,,,,,,,19,,,Yes,
Gordon College,,,,,,1236,,,28,,,,,,,,,,,,19,,,Considered if submitted,
Gordon Conwell Theological Seminary,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Goshen College,,,,,,975,,,28,,,,,,,,,,,,19,,,Recommended,
Goucher College,,,,,,1228,,,28,,,,,,,,,,,,19,,,Considered if submitted,
Governors State University,,,,,,1100,,,14,,,,,,,,,,,,15,,,Considered if submitted,
Grace Bible College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Grace College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Grace University,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Graceland University,,,,,,1025,,,20,,,,,,,,,,,,14,,,Neither required nor recommended,
Graduate Theological Union,,,,,,1200,,,25,,,,,,,,,,,,17,,,Yes,
Grambling State University,,,,,,1050,,,21,,,,,,,,,,,,14,,,Required,
Grand Canyon University,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Grand Valley State University,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Grand View University,,,,,,1015,,,20,,,,,,,,,,,,14,,,Required,
Grantham University,,,,,,1050,,,21,,,,,,,,,,,,14,,,Yes,
Gratz College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Not available,
Great Lakes Christian College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Required,
Green Mountain College,,,,,,1150,,,24,,,,,,,,,,,,16,,,Yes,
Greensboro College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Greenville College,,,,,,1100,,,25,,,,,,,,,,,,17,,,Yes,
Grinnell College,,,,,,1400,,,32,,,,,,,,,,,,22,,,Yes,
