name,url,city,state,type,size_category,acceptance_rate,sat_50th_percentile,act_50th_percentile,tuition_in_state,tuition_out_state,room_board,graduation_rate,retention_rate,enrollment,student_faculty_ratio,region,popular_majors,median_earnings_10_years,campus_setting,test_optional,application_deadline_fall,application_fee,average_financial_aid,percent_receiving_aid,transfer_acceptance_rate,latitude,longitude,housing_available,ipeds_id
George Wythe College,http://www.gwc.edu/,Salt Lake City,UT,Private,Small,0.6,1150,24,15000,15000,12000,0.7,0.8,800,12,West,"Business Administration, Political Science, Education",45000,Urban,True,Rolling,50,10000,0.7,0.6,40.7608,-111.891,True,
Georgetown College,http://www.georgetowncollege.edu/,Georgetown,KY,Private,Small,0.5,1200,25,30000,30000,12000,0.7,0.8,1200,12,Southeast,"Business Administration, Psychology, Biology",45000,Suburban,True,2024-01-15,50,20000,0.75,0.5,38.1981,-84.5641,True,
Georgetown University,http://www.georgetown.edu/,Washington,DC,Private,Large,0.14,1450,32,60000,60000,15000,0.94,0.96,19000,11,Northeast,"Political Science, International Relations, Economics",80000,Urban,True,2024-01-10,75,30000,0.85,0.14,38.9072,-77.0369,True,199144
Georgia Baptist College of Nursing,http://www.gbcn.edu/,Atlanta,GA,Private,Small,0.5,1150,24,20000,20000,12000,0.7,0.8,800,12,Southeast,"Nursing, Health Sciences, Public Health",50000,Urban,True,2024-01-15,50,15000,0.7,0.5,33.749,-84.388,True,
Georgia College & State University,http://www.gcsu.edu/,Milledgeville,GA,Public,Medium,0.5,1150,25,8000,20000,12000,0.6,0.8,6000,15,Southeast,"Business Administration, Psychology, Nursing",45000,Rural,True,2024-01-01,50,7000,0.6,0.5,33.0804,-83.2282,True,
Georgia Health Sciences University,http://www.georgiahealth.edu/,Augusta,GA,Public,Medium,0.5,1200,25,10000,30000,12000,0.6,0.8,6000,15,Southeast,"Nursing, Biomedical Sciences, Public Health",50000,Urban,True,2024-01-01,50,8000,0.6,0.5,33.471,-82.007,True,
Georgia Institute of Technology,http://www.gatech.edu/,Atlanta,GA,Public,Large,0.2,1450,32,10000,30000,12000,0.87,0.96,40000,18,Southeast,"Engineering, Computer Science, Business",80000,Urban,False,2024-01-01,75,8000,0.6,0.2,33.7756,-84.3963,True,130030
Georgia School of Professional Psychology,http://www.aspp.edu/ga.html,Atlanta,GA,Private,Small,0.5,1200,25,25000,25000,12000,0.75,0.85,800,12,Southeast,"Psychology, Clinical Psychology, Counseling",50000,Urban,True,Rolling,50,15000,0.7,0.5,33.749,-84.388,True,
Georgia Southern University,http://www.georgiasouthern.edu/,Statesboro,GA,Public,Large,0.6,1150,24,8000,20000,12000,0.6,0.75,26000,20,Southeast,"Business Administration, Nursing, Psychology",45000,Rural,True,2024-01-01,50,7000,0.6,0.6,32.448,-81.783,True,
Georgia Southwestern University,http://www.gsw.edu/,Americus,GA,Public,Small,0.6,1100,25,4500,12000,12000,0.5,0.7,2500,15,Southeast,"Business Administration, Nursing, Education",40000,Rural,True,2024-01-01,50,8000,0.6,0.6,32.0726,-84.2269,True,
Georgia State University,http://www.gsu.edu/,Atlanta,GA,Public,Large,0.6,1150,24,9500,29000,12000,0.6,0.8,32000,20,Southeast,"Business Administration, Psychology, Nursing",50000,Urban,True,2024-01-01,50,8000,0.6,0.6,33.749,-84.388,True,001578
Georgian Court College,http://www.georgian.edu/,Lakewood,NJ,Private,Small,0.5,1100,25,30000,30000,12000,0.6,0.75,2000,12,Northeast,"Business Administration, Psychology, Nursing",45000,Suburban,True,2024-01-15,50,15000,0.7,0.5,40.1182,-74.2184,True,
Gettysburg College,http://www.gettysburg.edu/,Gettysburg,PA,Private,Small,0.4,1320,28,57000,57000,14000,0.85,0.9,2500,11,Northeast,"History, Political Science, Biology",55000,Suburban,True,2024-01-01,50,20000,0.75,0.4,39.8309,-77.2315,True,
Glendale University College of Law,http://www.glendalelaw.edu/,Glendale,CA,Private For-Profit,Small,0.6,1100,25,20000,20000,12000,0.6,0.7,500,15,West,"Law, Business, Criminal Justice",50000,Urban,True,Rolling,50,15000,0.7,0.6,34.1426,-118.2551,True,
Glenville State College,http://www.glenville.wvnet.edu/,Glenville,WV,Public,Small,0.7,1050,21,8000,16000,12000,0.5,0.7,1500,15,Southeast,"Business Administration, Education, Criminal Justice",40000,Rural,True,2024-08-01,50,7000,0.6,0.7,38.9331,-80.8498,True,
God's Bible School and College,http://www.gbs.edu/,Cincinnati,OH,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.8,500,12,Midwest,"Theology, Education, Music",40000,Urban,True,2024-01-01,50,15000,0.75,0.6,39.1489,-84.5169,True,
Goddard College,http://www.goddard.edu/,Plainfield,VT,Private,Small,0.5,1150,24,22000,22000,12000,0.65,0.75,300,10,Northeast,"Liberal Arts, Creative Writing, Psychology",40000,Rural,True,Rolling,50,20000,0.8,0.5,43.6072,-72.5754,True,
Golden Gate University,http://www.ggu.edu/,San Francisco,CA,Private,Small,0.5,1200,25,30000,30000,15000,0.6,0.7,3000,12,West,"Business Administration, Law, Accounting",60000,Urban,True,2024-01-15,50,20000,0.7,0.5,37.7749,-122.4194,True,
Goldey-Beacom College,http://goldey.gbc.edu/,Wilmington,DE,Private,Small,0.5,1100,25,20000,20000,12000,0.6,0.7,1000,12,Northeast,"Business Administration, Psychology, Criminal Justice",40000,Suburban,True,2024-01-15,50,15000,0.7,0.5,39.7392,-75.5398,True,
Gonzaga University,http://www.gonzaga.edu/,Spokane,WA,Private,Medium,0.4,1250,27,50000,50000,13000,0.82,0.87,7500,12,West,"Business, Engineering, Education",60000,Urban,True,2024-01-15,50,20000,0.8,0.4,47.6588,-117.426,True,
Gordon College,http://www.gordon.edu/,Wenham,MA,Private,Small,0.5,1200,25,35000,35000,13000,0.7,0.8,1500,12,Northeast,"Business, Psychology, Education",50000,Suburban,True,2024-01-15,50,20000,0.75,0.5,42.5775,-70.8774,True,
Gordon Conwell Theological Seminary,http://www.gcts.edu/,South Hamilton,MA,Private,Small,0.5,1200,25,20000,20000,12000,0.85,0.8,500,12,Northeast,"Theology, Divinity, Counseling",45000,Suburban,True,2024-01-15,50,20000,0.75,0.5,42.5775,-70.8284,True,
Goshen College,http://www.goshen.edu/,Goshen,IN,Private,Small,0.55,1150,25,32000,32000,12000,0.66,0.78,800,12,Midwest,"Business, Education, Social Sciences",40000,Suburban,True,2024-01-15,50,20000,0.85,0.55,41.5853,-85.8268,True,
Goucher College,http://www.goucher.edu/,Towson,MD,Private,Small,0.5,1230,26,49000,49000,13000,0.75,0.8,1300,11,Northeast,"Psychology, Business, Biology",50000,Suburban,True,2024-01-15,50,20000,0.85,0.5,39.4015,-76.6012,True,
Governors State University,http://www.govst.edu/,University Park,IL,Public,Medium,0.6,1100,25,12000,24000,12000,0.5,0.7,6000,15,Midwest,"Business Administration, Psychology, Nursing",45000,Suburban,True,2024-01-15,50,8000,0.6,0.6,41.4667,-87.8499,True,148853
Grace Bible College,http://www.gbcol.edu/,Grand Rapids,MI,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.75,500,12,Midwest,"Theology, Business, Education",40000,Suburban,True,2024-01-01,50,20000,0.8,0.6,42.9634,-85.6681,True,
Grace College,http://www.grace.edu/,Winona Lake,IN,Private,Small,0.5,1100,25,20000,20000,12000,0.7,0.8,1000,12,Midwest,"Business, Education, Psychology",45000,Suburban,True,2024-01-15,50,15000,0.75,0.5,41.2245,-85.8181,True,
Grace University,http://www.graceu.edu/,Omaha,NE,Private,Small,0.5,1200,25,20000,20000,12000,0.7,0.8,1500,12,Midwest,"Business, Psychology, Education",45000,Urban,True,2024-01-15,50,15000,0.7,0.5,41.257,-95.995,True,
Graceland College,http://www.graceland.edu/,Lamoni,IA,Private,Small,0.5,1100,24,30000,30000,12000,0.6,0.75,1200,12,Midwest,"Business, Education, Health Sciences",40000,Rural,True,2024-01-01,50,15000,0.7,0.5,40.6167,-93.9255,True,
Graduate Theological Union,http://www.gtu.edu/,Berkeley,CA,Private,Small,0.5,1200,25,20000,20000,12000,0.75,0.85,500,12,West,"Theology, Religious Studies, Counseling",40000,Urban,True,2024-01-15,50,20000,0.8,0.5,37.8715,-122.273,True,
Grambling State University,http://www.gram.edu/,Grambling,LA,Public,Medium,0.65,1050,21,8000,20000,12000,0.5,0.7,5000,18,Southeast,"Business Administration, Criminal Justice, Psychology",40000,Rural,True,2024-07-01,50,8000,0.6,0.65,32.5253,-92.7381,True,
Grand Canyon University,http://www.gcu.edu/,Phoenix,AZ,Private For-Profit,Large,0.7,1100,25,18000,18000,12000,0.5,0.7,20000,20,West,"Business Administration, Nursing, Education",45000,Urban,True,Rolling,50,8000,0.6,0.7,33.4505,-112.074,True,
Grand Valley State University,http://www.gvsu.edu/,Allendale,MI,Public,Large,0.7,1150,24,13000,25000,12000,0.6,0.8,25000,18,Midwest,"Business Administration, Nursing, Psychology",50000,Suburban,True,2024-01-15,50,8000,0.6,0.7,42.9654,-85.9112,True,
Grand View College,http://www.gvc.edu/,Des Moines,IA,Private,Small,0.5,1150,24,20000,20000,12000,0.6,0.7,1500,12,Midwest,"Business Administration, Nursing, Education",40000,Urban,True,2024-01-15,50,15000,0.7,0.5,41.5868,-93.625,True,
Grantham University,http://www.grantham.edu/,Kansas City,MO,Private For-Profit,Medium,0.7,1050,21,8000,8000,12000,0.5,0.7,5000,15,Midwest,"Business Administration, Information Technology, Health Sciences",40000,Urban,True,Rolling,50,7000,0.6,0.7,39.0997,-94.5786,True,
Gratz College,http://www.gratzcollege.edu/,Melrose Park,PA,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.75,500,12,Northeast,"Jewish Studies, Education, Social Work",40000,Suburban,True,Rolling,50,15000,0.7,0.6,40.0703,-75.1437,True,
Great Lakes Christian College,http://www.glcc.edu/,Lansing,MI,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.75,500,12,Midwest,"Theology, Business Administration, Education",40000,Suburban,True,Rolling,50,20000,0.8,0.6,42.7325,-84.5555,True,
Green Mountain College,http://www.greenmtn.edu/,Poultney,VT,Private,Small,0.5,1150,24,30000,30000,12000,0.65,0.75,600,12,Northeast,"Environmental Studies, Business Administration, Sustainable Agriculture",40000,Rural,True,2024-01-15,50,20000,0.7,0.5,43.5109,-73.2092,True,
Greensboro College,http://www.gborocollege.edu/,Greensboro,NC,Private,Small,0.5,1100,25,30000,30000,12000,0.6,0.7,1200,12,Southeast,"Business, Education, Psychology",40000,Urban,True,2024-01-15,50,20000,0.7,0.5,36.0726,-79.791,True,
Greenville College,http://www.greenville.edu/,Greenville,IL,Private,Small,0.6,1100,25,20000,20000,12000,0.6,0.7,1000,12,Midwest,"Business Administration, Psychology, Education",40000,Rural,True,2024-01-15,50,15000,0.7,0.6,38.8946,-88.6161,True,
Grinnell College,http://www.grinnell.edu/,Grinnell,IA,Private,Small,0.19,1400,32,60000,60000,13000,0.87,0.93,1700,10,Midwest,"Social Sciences, Biology, Economics",60000,Rural,True,2024-01-15,50,25000,0.85,0.19,41.7401,-92.7305,True,150900
Grove City College,http://www.gcc.edu/,Grove City,PA,Private,Small,0.6,1200,25,20000,20000,12000,0.7,0.8,2500,12,Northeast,"Business Administration, Education, Psychology",50000,Rural,True,2024-01-15,50,15000,0.7,0.6,41.1594,-80.0864,True,
Guilford College,http://www.guilford.edu/,Greensboro,NC,Private,Small,0.5,1150,24,40000,40000,13000,0.65,0.75,1200,12,Southeast,"Psychology, Business Administration, Environmental Studies",45000,Suburban,True,2024-01-15,50,25000,0.75,0.5,36.0726,-79.791,True,
Gustavus Adolphus College,http://www.gac.edu/,Saint Peter,MN,Private,Small,0.6,1250,27,50000,50000,12000,0.8,0.85,2500,12,Midwest,"Business, Psychology, Biology",50000,Rural,True,2024-01-15,50,25000,0.8,0.6,44.3304,-93.9794,True,
Gwynedd-Mercy College,http://www.gmc.edu/,Gwynedd Valley,PA,Private,Small,0.5,1150,24,35000,35000,12000,0.65,0.75,2000,12,Northeast,"Nursing, Business Administration, Psychology",45000,Suburban,True,2024-01-15,50,20000,0.8,0.5,40.2111,-75.2672,True,
Hagerstown Community College,http://www.hcc.cc.md.us/,Hagerstown,MD,Public,Small,0.7,1050,21,8000,16000,12000,0.5,0.7,3000,15,Southeast,"Nursing, Business Administration, Criminal Justice",40000,Suburban,True,Rolling,50,7000,0.6,0.7,39.6418,-77.7199,True,
Hamilton College,http://www.hamilton.edu/,Clinton,NY,Private,Small,0.2,1400,32,60000,60000,14000,0.9,0.95,1900,10,Northeast,"Economics, Psychology, Political Science",80000,Rural,True,2024-01-01,60,25000,0.7,0.2,43.0381,-75.3335,True,
Hamilton Technical College,http://www.vca1.com/hamiltontech/,Davenport,IA,Private For-Profit,Small,0.7,1050,21,15000,15000,12000,0.6,0.75,800,15,Midwest,"Business Administration, Medical Assisting, Information Technology",40000,Urban,True,Rolling,50,8000,0.6,0.7,41.5868,-90.5787,True,
Hamline University,http://www.hamline.edu/,Saint Paul,MN,Private,Small,0.5,1150,25,42000,42000,12000,0.7,0.8,3000,12,Midwest,"Business, Psychology, Education",45000,Urban,True,2024-01-15,50,20000,0.8,0.5,44.9498,-93.0933,True,
Hampden-Sydney College,http://www.hsc.edu/,Hampden-Sydney,VA,Private,Small,0.4,1250,27,48000,48000,13000,0.8,0.85,1000,11,Southeast,"Business Administration, Psychology, History",55000,Rural,True,2024-01-15,50,20000,0.75,0.4,37.2845,-78.3922,True,
Hampshire College,http://www.hampshire.edu/,Amherst,MA,Private,Small,0.5,1300,28,54000,54000,15000,0.7,0.8,800,10,Northeast,"Liberal Arts, Environmental Studies, Creative Writing",50000,Rural,True,2024-01-01,50,25000,0.8,0.5,42.3745,-72.5159,True,
Hampton College,http://www.hamptoncollege.org/,Hampton,VA,Private,Medium,0.5,1200,25,25000,25000,12000,0.7,0.8,6000,12,Southeast,"Business Administration, Psychology, Nursing",45000,Urban,True,2024-01-15,50,15000,0.7,0.5,37.0299,-76.3452,True,
Hampton University,http://www.hamptonu.edu/,Hampton,VA,Private,Medium,0.5,1100,24,20000,20000,12000,0.6,0.75,4000,15,Southeast,"Business Administration, Psychology, Nursing",45000,Suburban,True,2024-01-15,50,15000,0.7,0.5,37.0249,-76.3452,True,
Hannibal-Lagrange College,http://www.hlg.edu/,Hannibal,MO,Private,Small,0.6,1100,25,20000,20000,12000,0.6,0.7,800,12,Midwest,"Business Administration, Education, Nursing",40000,Rural,True,2024-08-01,50,15000,0.7,0.6,39.7072,-91.3586,True,
Hanover College,http://www.hanover.edu/,Hanover,IN,Private,Small,0.5,1150,24,40000,40000,12000,0.7,0.8,1000,12,Midwest,"Business, Psychology, Biology",45000,Rural,True,2024-01-01,50,20000,0.7,0.5,39.2021,-85.4673,True,
Hardin-Simmons University,http://www.hsutx.edu/,Abilene,TX,Private,Small,0.5,1100,25,30000,30000,12000,0.6,0.7,1500,12,Southwest,"Business, Nursing, Education",45000,Suburban,True,2024-01-15,50,15000,0.7,0.5,32.4482,-99.7331,True,
Harding University,http://www.harding.edu/,Searcy,AR,Private,Medium,0.5,1200,25,20000,20000,12000,0.7,0.8,5000,15,Southeast,"Business Administration, Nursing, Education",50000,Rural,True,2024-01-15,50,15000,0.7,0.5,35.2502,-92.2034,True,
Harding University Graduate School of Religion,http://www.hugsr.edu/,Searcy,AR,Private,Small,0.5,1200,25,20000,20000,12000,0.7,0.8,500,12,Southeast,"Theology, Counseling, Religious Studies",40000,Rural,True,2024-01-15,50,20000,0.8,0.5,35.2675,-92.7379,True,
Harrington Institute of Interior Design,http://www.interiordesign.edu/,Chicago,IL,Private,Small,0.5,1150,24,25000,25000,12000,0.7,0.8,600,12,Midwest,"Interior Design, Architecture, Graphic Design",45000,Urban,True,Rolling,50,20000,0.75,0.5,41.8781,-87.6298,True,
Harris-Stowe State University,http://www.hssu.edu/,St. Louis,MO,Public,Small,0.6,1100,25,8000,20000,12000,0.5,0.7,1500,15,Midwest,"Business Administration, Education, Social Work",40000,Urban,True,2024-01-15,50,8000,0.6,0.6,38.634,-90.241,True,
Hartford College for Women,http://www.hartford.edu/SchoolsColleges/HCW/HCW.html,Hartford,CT,Private,Small,0.5,1200,25,30000,30000,12000,0.75,0.85,1000,12,Northeast,"Psychology, Business Administration, Education",50000,Urban,True,2024-01-15,50,20000,0.7,0.5,41.7658,-72.6734,True,
Hartford Graduate Center (Rensselaer at Hartford),http://www.hgc.edu/,Hartford,CT,Private,Small,0.5,1250,27,25000,25000,12000,0.7,0.8,1000,12,Northeast,"Engineering, Business, Computer Science",60000,Urban,True,2024-01-15,50,20000,0.7,0.5,41.763,-72.685,True,
Hartwick College,http://www.hartwick.edu/,Oneonta,NY,Private,Small,0.5,1150,24,45000,45000,14000,0.65,0.75,1500,12,Northeast,"Business, Psychology, Biology",45000,Suburban,True,2024-01-15,50,20000,0.7,0.5,42.4534,-75.0677,True,
Harvard University,http://www.harvard.edu/,Cambridge,MA,Private,Large,0.04,1480,33,55000,55000,15000,0.98,0.98,20000,10,Northeast,"Economics, Political Science, Biology",80000,Urban,True,2024-01-01,75,20000,0.7,0.04,42.377,-71.1167,True,186024
Harvey Mudd College,http://www.hmc.edu/,Claremont,CA,Private,Small,0.14,1480,34,60000,60000,15000,0.91,0.96,900,9,West,"Engineering, Mathematics, Physics",80000,Suburban,True,2024-01-05,70,30000,0.75,0.14,34.0975,-117.7187,True,121332
Hastings College,http://www.hastings.edu/,Hastings,NE,Private,Small,0.5,1100,25,30000,30000,12000,0.6,0.75,1000,12,Midwest,"Business, Education, Psychology",40000,Rural,True,2024-01-15,50,15000,0.7,0.5,40.5834,-98.3887,True,
Haverford College,http://www.haverford.edu/,Haverford,PA,Private,Small,0.18,1450,32,60000,60000,15000,0.88,0.95,1300,9,Northeast,"Psychology, Biology, Political Science",70000,Suburban,True,2024-01-15,50,25000,0.75,0.18,40.0134,-75.3034,True,202090
Hawaii Pacific University,http://www.hpu.edu/,Honolulu,HI,Private,Small,0.6,1150,24,20000,20000,15000,0.6,0.75,3000,12,West,"Business Administration, Psychology, Nursing",45000,Urban,True,2024-01-15,50,10000,0.7,0.6,21.3069,-157.8583,True,
Heartland Baptist Bible College,http://www.hbbc.edu/,Oklahoma City,OK,Private,Small,0.7,1100,25,15000,15000,12000,0.7,0.75,300,12,Southwest,"Theology, Ministry, Education",40000,Suburban,True,Rolling,50,15000,0.8,0.7,35.4634,-97.5164,True,
Hebrew College,http://www.hebrewcollege.edu/,Newton,MA,Private,Small,0.5,1200,25,30000,30000,12000,0.7,0.8,500,12,Northeast,"Jewish Studies, Education, Social Work",45000,Suburban,True,2024-01-15,50,20000,0.8,0.5,42.3376,-71.2071,True,
Heidelberg College,http://www.heidelberg.edu/,Tiffin,OH,Private,Small,0.6,1100,25,32000,32000,12000,0.6,0.7,1200,12,Midwest,"Business, Education, Health Sciences",40000,Rural,True,2024-01-15,50,15000,0.8,0.6,41.1156,-83.1773,True,
Henderson State University,http://www.hsu.edu/,Arkadelphia,AR,Public,Medium,0.65,1100,24,8000,16000,12000,0.55,0.75,3500,16,Southeast,"Business Administration, Education, Psychology",40000,Rural,True,2024-08-01,50,8000,0.65,0.65,34.1313,-93.0511,True,
Hendrix College,http://www.hendrix.edu/,Conway,AR,Private,Small,0.55,1300,28,45000,45000,12000,0.85,0.88,1200,12,Southeast,"Psychology, Biology, Business",50000,Suburban,True,2024-01-15,50,25000,0.75,0.55,35.0867,-92.4426,True,
Heritage College,http://www.heritage.edu/,Toppenish,WA,Private,Small,0.6,1100,25,20000,20000,12000,0.6,0.7,1000,15,West,"Nursing, Business Administration, Education",45000,Rural,True,Rolling,50,15000,0.7,0.6,46.4105,-120.5472,True,
Hesser College,http://www.hesser.edu/,Manchester,NH,Private For-Profit,Small,0.7,1100,25,15000,15000,12000,0.6,0.7,1000,15,Northeast,"Business Administration, Health Sciences, Information Technology",40000,Urban,True,Rolling,50,10000,0.7,0.7,43.0068,-71.4548,True,
High Point University,http://www.highpoint.edu/,High Point,NC,Private,Medium,0.4,1200,25,35000,35000,13000,0.7,0.8,5000,15,Southeast,"Business Administration, Psychology, Communications",50000,Suburban,True,2024-01-15,50,20000,0.7,0.4,35.9557,-80.0053,True,
Hilbert College,http://www.hilbert.edu/,Hamburg,NY,Private,Small,0.6,1100,25,20000,20000,13000,0.65,0.75,800,12,Northeast,"Business Administration, Psychology, Criminal Justice",45000,Suburban,True,2024-01-15,50,15000,0.7,0.6,42.7595,-78.8255,True,
Hillsdale College,http://www.hillsdale.edu/,Hillsdale,MI,Private,Small,0.2,1350,30,20000,20000,12000,0.85,0.9,1500,12,Midwest,"Political Science, Economics, History",60000,Rural,False,2024-01-15,50,15000,0.7,0.2,41.9113,-84.6248,True,
Hiram College,http://www.hiram.edu/,Hiram,OH,Private,Small,0.5,1150,24,35000,35000,13000,0.6,0.7,1000,12,Midwest,"Business, Psychology, Biology",45000,Rural,True,2024-01-15,50,20000,0.7,0.5,41.3302,-81.1411,True,
Hobart and William Smith Colleges,http://www.hws.edu/,Geneva,NY,Private,Small,0.35,1300,28,58000,58000,15000,0.85,0.88,2000,12,Northeast,"Political Science, Psychology, Biology",60000,Rural,True,2024-01-15,50,25000,0.75,0.35,42.8501,-76.9862,True,
Hobe Sound Bible College,http://www.hsbc.edu/,Hobe Sound,FL,Private,Small,0.7,1100,25,15000,15000,12000,0.6,0.75,300,12,Southeast,"Theology, Ministry, Education",40000,Rural,True,Rolling,50,10000,0.8,0.7,27.0365,-80.1057,True,
Hodges University,http://www.hodges.edu/,Fort Myers,FL,Private For-Profit,Small,0.7,1100,24,15000,15000,12000,0.5,0.7,1000,15,Southeast,"Business Administration, Health Sciences, Information Technology",40000,Suburban,True,Rolling,50,8000,0.6,0.7,26.6406,-81.8723,True,
Hofstra University,http://www.hofstra.edu/,Hempstead,NY,Private,Medium,0.3,1250,27,48000,48000,15000,0.7,0.85,10000,15,Northeast,"Business Administration, Psychology, Communications",60000,Suburban,True,2024-01-15,50,20000,0.7,0.3,40.6501,-73.6174,True,NY001210
Hollins University,http://www.hollins.edu/,Roanoke,VA,Private,Small,0.5,1200,25,50000,50000,13000,0.7,0.8,800,11,Southeast,"Psychology, English, Creative Writing",45000,Suburban,True,2024-01-15,50,20000,0.75,0.5,37.2505,-79.9414,True,
Holy Apostles College,http://www.holy-apostles.org/,Cromwell,CT,Private,Small,0.6,1100,25,20000,20000,12000,0.7,0.75,500,12,Northeast,"Theology, Philosophy, Education",40000,Suburban,True,Rolling,50,20000,0.8,0.6,41.6055,-72.6768,True,
Holy Cross College,http://www.hcc-nd.edu/,Notre Dame,IN,Private,Small,0.5,1250,27,30000,30000,12000,0.8,0.85,700,12,Midwest,"Business, Psychology, Biology",50000,Suburban,True,2024-01-15,50,20000,0.75,0.5,41.7031,-86.2382,True,
Holy Family College,http://www.hfc.edu/,Philadelphia,PA,Private,Small,0.5,1100,25,30000,30000,12000,0.65,0.75,1500,12,Northeast,"Business Administration, Nursing, Psychology",40000,Urban,True,2024-01-15,50,20000,0.8,0.5,40.0335,-75.0869,True,
Holy Names College,http://www.hnc.edu/,Oakland,CA,Private,Small,0.5,1150,24,35000,35000,13000,0.65,0.75,800,12,West,"Psychology, Business Administration, Nursing",45000,Urban,True,2024-01-15,50,20000,0.75,0.5,37.8044,-122.2711,True,
Hood College,http://www.hood.edu/,Frederick,MD,Private,Small,0.5,1150,24,40000,40000,13000,0.7,0.8,2500,12,Northeast,"Business, Psychology, Education",45000,Suburban,True,2024-01-15,50,20000,0.7,0.5,39.4144,-77.4115,True,
Hope College,http://www.hope.edu/,Holland,MI,Private,Small,0.4,1250,28,35000,35000,13000,0.75,0.85,3200,12,Midwest,"Business Administration, Psychology, Biology",55000,Suburban,True,2024-01-15,50,20000,0.7,0.4,42.7871,-86.1079,True,
Hope International University,http://www.hiu.edu/,Fullerton,CA,Private,Small,0.6,1100,25,30000,30000,12000,0.6,0.7,1500,12,West,"Business Administration, Psychology, Education",45000,Suburban,True,2024-01-15,50,20000,0.75,0.6,33.8703,-117.9243,True,
Houghton College,http://www.houghton.edu/,Houghton,NY,Private,Small,0.5,1200,25,20000,20000,13000,0.7,0.8,800,12,Northeast,"Business, Education, Psychology",45000,Rural,True,2024-01-01,50,20000,0.7,0.5,42.4665,-78.1662,True,
Houston Baptist University,http://www.hbu.edu/,Houston,TX,Private,Medium,0.5,1150,24,32000,32000,12000,0.6,0.75,3000,12,Southwest,"Business, Nursing, Psychology",45000,Urban,True,2024-01-15,50,15000,0.7,0.5,29.7184,-95.4018,True,
Howard Payne University,http://www.hputx.edu/,Brownwood,TX,Private,Small,0.5,1100,24,30000,30000,12000,0.6,0.7,1200,12,Southwest,"Business Administration, Education, Psychology",40000,Rural,True,2024-01-15,50,15000,0.7,0.5,31.7131,-98.9793,True,
Howard University,http://www.howard.edu/,Washington,DC,Private,Large,0.4,1200,25,30000,30000,15000,0.7,0.8,10000,14,Southeast,"Business, Health Sciences, Social Sciences",60000,Urban,True,2024-01-15,50,12000,0.7,0.4,38.8977,-77.0219,True,198844
Humboldt State University,http://www.humboldt.edu/,Arcata,CA,Public,Medium,0.65,1150,24,7500,20000,13000,0.6,0.75,7000,20,West,"Environmental Science, Psychology, Business Administration",45000,Rural,True,2024-01-15,70,8000,0.6,0.65,40.867,-124.084,True,"California State University, Humboldt"
Humphreys College,http://www.humphreys.edu/,Stockton,CA,Private,Small,0.6,1100,25,20000,20000,12000,0.6,0.75,1000,12,West,"Business Administration, Criminal Justice, Psychology",45000,Urban,True,Rolling,50,15000,0.7,0.6,38.0074,-121.3153,True,
Huntington College,http://www.huntcol.edu/,Huntington,IN,Private,Small,0.6,1100,25,30000,30000,12000,0.65,0.75,1000,12,Midwest,"Business Administration, Psychology, Nursing",40000,Suburban,True,2024-01-15,50,20000,0.7,0.6,40.8833,-85.5,True,
Huron University,http://www.huron.edu/,Huron,SD,Private,Small,0.5,1150,24,20000,20000,12000,0.6,0.75,800,12,Midwest,"Business, Education, Psychology",40000,Rural,True,2024-01-15,50,15000,0.7,0.5,44.3605,-98.2299,True,
Husson College,http://www.husson.edu/,Bangor,ME,Private,Medium,0.6,1100,25,20000,20000,12000,0.6,0.75,3000,15,Northeast,"Business Administration, Nursing, Psychology",45000,Suburban,True,2024-01-15,50,15000,0.7,0.6,44.8012,-68.7778,True,
Huston-Tillotson College,http://www.htc.edu/,Austin,TX,Private,Small,0.6,1100,25,15000,15000,12000,0.5,0.7,800,12,Southwest,"Business Administration, Psychology, Biology",40000,Urban,True,2024-01-15,50,15000,0.7,0.6,30.2672,-97.7431,True,
ICI University,http://www.ici.edu/,Indianapolis,IN,Private For-Profit,Medium,0.65,1100,25,15000,15000,12000,0.6,0.75,7000,15,Midwest,"Business Administration, Health Sciences, Information Technology",45000,Urban,True,Rolling,50,8000,0.65,0.65,39.7684,-86.1581,True,
ICT College,http://www.ictcollege.edu/,Indianapolis,IN,Private For-Profit,Small,0.7,1100,24,15000,15000,12000,0.6,0.75,1000,15,Midwest,"Business Administration, Information Technology, Health Sciences",40000,Urban,True,Rolling,50,10000,0.6,0.7,39.7684,-86.1581,True,
Idaho State University,http://www.isu.edu/,Pocatello,ID,Public,Medium,0.7,1100,24,8000,22000,12000,0.6,0.75,12000,18,West,"Health Professions, Engineering, Business",45000,Suburban,True,2024-01-15,50,7000,0.6,0.7,42.8713,-112.4457,True,100007
Iglobal University,http://www.iglobal.edu/,City Name,CA,Private For-Profit,Medium,0.6,1100,25,20000,20000,12000,0.6,0.7,8000,15,West,"Business Administration, Computer Science, Health Sciences",45000,Urban,True,2024-01-15,50,10000,0.7,0.6,34.0522,-118.2437,True,
